,pv_per_unit
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.00744
8,0.07628
9,0.23943
10,0.35155000000000003
11,0.19954
12,0.22958
13,0.20195
14,0.30206
15,0.2214
16,0.11691
17,0.023739999999999997
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.00094
31,0.0259
32,0.0725
33,0.12146
34,0.14886000000000002
35,0.04912
36,0.09481
37,0.23162
38,0.26412
39,0.17392
40,0.13351
41,0.022539999999999998
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.00347
55,0.05715
56,0.17468999999999998
57,0.18242
58,0.12473999999999999
59,0.23751
60,0.29129
61,0.29188
62,0.24112
63,0.1254
64,0.07651000000000001
65,0.00827
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.00086
79,0.03737
80,0.10546
81,0.12254999999999999
82,0.16009
83,0.24228
84,0.29519
85,0.52362
86,0.33082999999999996
87,0.23269
88,0.10715999999999999
89,0.019
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.026449999999999998
104,0.09861
105,0.11298
106,0.09046
107,0.10865999999999999
108,0.05078
109,0.1052
110,0.09601000000000001
111,0.07755
112,0.04553
113,0.007019999999999999
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.00017999999999999998
127,0.02149
128,0.061759999999999995
129,0.11205
130,0.13106
131,0.08631
132,0.06958
133,0.17366
134,0.11997
135,0.09389
136,0.05842
137,0.00484
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.00139
153,0.01709
154,0.03006
155,0.05425
156,0.00707
157,0.06306
158,0.06494
159,0.04204
160,0.03342
161,0.004030000000000001
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0014399999999999999
175,0.06136
176,0.12866999999999998
177,0.30119999999999997
178,0.28226999999999997
179,0.37712
180,0.296
181,0.48649000000000003
182,0.41992
183,0.27882999999999997
184,0.11229
185,0.022789999999999998
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.00139
199,0.09844
200,0.18675999999999998
201,0.27094
202,0.40697000000000005
203,0.3906
204,0.36628
205,0.37313
206,0.18321
207,0.26014
208,0.14367
209,0.02813
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.00078
223,0.06513
224,0.15812
225,0.28067000000000003
226,0.41329000000000005
227,0.46438999999999997
228,0.39276
229,0.18402000000000002
230,0.30948000000000003
231,0.24255000000000002
232,0.13468
233,0.03228
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.00164
247,0.06114
248,0.26937
249,0.34211
250,0.41755000000000003
251,0.41748
252,0.48233
253,0.34881
254,0.32549
255,0.31442000000000003
256,0.13559000000000002
257,0.03039
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.02539
272,0.10822
273,0.21661000000000002
274,0.17107
275,0.24678999999999998
276,0.23571
277,0.13369999999999999
278,0.13268000000000002
279,0.10414
280,0.036770000000000004
281,0.010119999999999999
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.00227
295,0.04371
296,0.14965
297,0.27235000000000004
298,0.42621
299,0.43783999999999995
300,0.48927
301,0.42608999999999997
302,0.38729
303,0.23249
304,0.14661000000000002
305,0.02249
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.00148
319,0.04782
320,0.17346
321,0.30935
322,0.42202
323,0.41499
324,0.5502
325,0.31698000000000004
326,0.18331
327,0.11495
328,0.03602
329,0.01267
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.00062
343,0.04378
344,0.16479
345,0.37604000000000004
346,0.37348000000000003
347,0.48886
348,0.45095999999999997
349,0.39173
350,0.25801
351,0.19615000000000002
352,0.08989
353,0.02274
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0020099999999999996
367,0.05003
368,0.1662
369,0.18978
370,0.34582999999999997
371,0.29378
372,0.41147
373,0.46320999999999996
374,0.31321
375,0.27797000000000005
376,0.12857
377,0.023940000000000003
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.011619999999999998
392,0.02278
393,0.05622
394,0.07156
395,0.18919
396,0.17142
397,0.48571
398,0.37218
399,0.33262
400,0.13671
401,0.027350000000000003
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.00136
415,0.05028
416,0.15386000000000002
417,0.34776
418,0.40403
419,0.43764
420,0.54762
421,0.23312
422,0.2875
423,0.19938
424,0.11188
425,0.03349
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0005600000000000001
440,0.00901
441,0.05443
442,0.1512
443,0.14536000000000002
444,0.22418000000000002
445,0.23125
446,0.17463
447,0.05165
448,0.05271
449,0.01167
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.00127
463,0.05675
464,0.21837
465,0.27770999999999996
466,0.29895
467,0.46202
468,0.38982
469,0.5166799999999999
470,0.37581
471,0.28918
472,0.12517
473,0.02693
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0009
487,0.05713
488,0.09867000000000001
