,cop_per_kwh
0,123.16729
1,123.16729
2,123.16729
3,123.16729
4,123.16729
5,123.16729
6,101.64729
7,101.64729
8,112.13929
9,105.99029
10,123.16729
11,123.16729
12,123.16729
13,123.16729
14,123.16729
15,123.16729
16,123.16729
17,123.16729
18,128.16729
19,128.16729
20,128.16729
21,128.16729
22,123.16729
23,123.16729
24,104.20189
25,104.20189
26,104.20189
27,104.20189
28,104.20189
29,106.02489
30,142.20189
31,119.20189
32,149.20189
33,143.20189
34,149.20189
35,149.20189
36,149.20189
37,149.20189
38,149.20189
39,149.20189
40,149.20189
41,149.20189
42,152.20189
43,152.20189
44,152.20189
45,149.20189
46,149.20189
47,142.20189
48,104.13987
49,106.06287
50,103.12987
51,104.13987
52,104.13987
53,106.06287
54,106.06287
55,125.23987
56,135.23987
57,149.43987
58,149.43987
59,149.43987
60,149.43987
61,149.43987
62,149.43987
63,149.43987
64,149.43987
65,149.43987
66,152.23987
67,152.23987
68,163.23987
69,149.43987
70,149.43987
71,135.23987
72,132.13639
73,132.13639
74,132.13639
75,111.84339
76,132.13639
77,138.13639
78,138.13639
79,144.13639
80,148.13639
81,148.13639
82,148.13639
83,148.13639
84,150.13639
85,150.13639
86,153.23639
87,150.13639
88,155.13639
89,148.13639
90,153.23639
91,153.23639
92,153.23639
93,150.13639
94,148.13639
95,144.13639
96,128.85567
97,122.85567
98,122.85567
99,122.85567
100,122.85567
101,122.85567
102,128.85567
103,128.85567
104,140.85567
105,137.85567
106,140.85567
107,143.95567
108,143.95567
109,143.95567
110,143.95567
111,143.95567
112,143.95567
113,143.95567
114,143.95567
115,143.95567
116,143.95567
117,143.95567
118,140.85567
119,128.85567
120,133.50243
121,133.50243
122,133.50243
123,133.50243
124,133.50243
125,133.50243
126,133.50243
127,133.50243
128,133.50243
129,135.40243
130,136.40243
131,136.40243
132,136.40243
133,136.40243
134,136.40243
135,136.40243
136,135.40243
137,136.40243
138,149.51643
139,149.51643
140,138.40243
141,138.40243
142,135.40243
143,133.50243
144,132.56001
145,132.56001
146,127.46001
147,127.46001
148,127.46001
149,127.46001
150,127.46001
151,132.56001
152,132.56001
153,132.56001
154,133.56001
155,136.46001
156,136.46001
157,136.46001
158,133.56001
159,133.56001
160,133.56001
161,133.56001
162,137.46001
163,137.46001
164,137.46001
165,137.46001
166,133.56001
167,132.56001
168,121.20863
169,121.20863
170,121.20863
171,121.20863
172,121.20863
173,121.20863
174,121.20863
175,131.20863
176,134.20863
177,134.20863
178,134.20863
179,134.20863
180,140.70863
181,140.70863
182,136.20863
183,134.20863
184,134.20863
185,134.20863
186,140.70863
187,142.20863
188,140.70863
189,140.70863
190,134.20863
191,134.20863
192,120.65553
193,120.65553
194,120.65553
195,106.47853
196,120.65553
197,120.65553
198,120.65553
199,126.65553
200,135.65553
201,141.65553
202,141.65553
203,141.65553
204,141.65553
205,141.65553
206,145.65553
207,145.65553
208,141.65553
209,141.65553
210,145.65553
211,146.65553
212,146.65553
213,145.65553
214,134.65553
215,126.65553
216,132.1524
217,132.1524
218,132.1524
219,132.1524
220,132.1524
221,132.1524
222,132.1524
223,132.1524
224,134.1524
225,134.1524
226,134.1524
227,137.1524
228,134.1524
229,134.1524
230,137.1524
231,137.1524
232,137.1524
233,134.1524
234,137.1524
235,137.1524
236,137.1524
237,137.1524
238,132.1524
239,132.1524
240,130.36987
241,130.36987
242,130.36987
243,130.36987
244,130.36987
245,130.36987
246,130.36987
247,136.36987
248,136.46987
249,136.46987
250,136.46987
251,136.46987
252,136.46987
253,136.46987
254,136.46987
255,136.46987
256,136.46987
257,136.46987
258,136.46987
259,136.46987
260,136.46987
261,136.46987
262,136.46987
263,136.36987
264,128.34623
265,128.34623
266,119.34623
267,119.34623
268,128.34623
269,131.34623
270,131.34623
271,135.99623
272,135.99623
273,135.99623
274,135.99623
275,137.14623
276,139.34623
277,135.99623
278,137.14623
279,135.99623
280,135.99623
281,135.99623
282,135.99623
283,137.14623
284,135.99623
285,135.99623
286,135.99623
287,133.34623
288,128.48061
289,128.48061
290,128.48061
291,126.48061
292,126.48061
293,126.48061
294,126.48061
295,130.48061
296,133.58061
297,133.68061
298,133.68061
299,133.68061
300,133.68061
301,133.68061
302,133.68061
303,133.68061
304,133.68061
305,133.68061
306,133.68061
307,133.68061
308,133.68061
309,133.68061
310,133.58061
311,130.48061
312,129.36287
313,128.86287
314,128.86287
315,128.86287
316,128.86287
317,128.86287
318,128.86287
319,128.86287
320,129.36287
321,129.36287
322,129.36287
323,129.36287
324,129.36287
325,129.36287
326,129.36287
327,129.36287
328,129.36287
329,129.36287
330,129.86287
331,129.86287
332,129.86287
333,129.36287
334,129.36287
335,129.36287
336,61.76035
337,61.76035
338,61.76035
339,61.76035
340,61.76035
341,112.39735
342,83.69035
343,129.99035
344,126.69035
345,128.69035
346,129.99035
347,138.69035
348,138.69035
349,129.99035
350,138.69035
351,138.69035
352,129.99035
353,128.69035
354,138.69035
355,148.69035
356,138.69035
357,128.69035
358,126.69035
359,103.58035
360,121.52105
361,121.52105
362,121.52105
363,121.52105
364,121.52105
365,121.52105
366,121.52105
367,127.52105
368,127.52105
369,127.52105
370,127.52105
371,127.52105
372,127.52105
373,127.52105
374,138.52105
375,127.52105
376,127.52105
377,127.52105
378,127.52105
379,127.52105
380,127.52105
381,127.52105
382,127.52105
383,121.52105
384,118.58802
385,118.58802
386,103.47802
387,103.47802
388,103.47802
389,112.58802
390,112.58802
391,118.58802
392,125.48802
393,125.48802
394,125.58802
395,125.58802
396,125.58802
397,125.58802
398,125.58802
399,125.58802
400,125.58802
401,125.48802
402,138.58802
403,135.58802
404,125.58802
405,124.58802
406,118.58802
407,112.58802
408,114.65991
409,114.65991
410,112.57991
411,112.57991
412,112.57991
413,117.57991
414,117.57991
415,118.57991
416,118.57991
417,118.57991
418,128.47991
419,128.47991
420,128.47991
421,128.47991
422,128.47991
423,128.47991
424,128.47991
